seed,schedule_id,category,label,efcl_cost,aer_fidelity,neglog_aer_fidelity,efcl_makespan,aer_makespan,efcl_exec,efcl_idle,efcl_comm,efcl_move,aer_comm_count,aer_move_count,aer_swap_count,aer_n_blocks,anchor,operator,anchor_moves,sched_moves,d_moves,schedule,efcl_rank,aer_rank
2,4,perturb,B1p0,0.6464439034461975,0.551679032278656,0.5947888650836688,10085.55078125,10220.0,0.029829896986484528,0.25110384821891785,0.36551010608673096,0.0,12,0,2,1,B1,C,0,0,0,00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011,2,8
2,5,perturb,B1p1,0.6023775339126587,0.6090196901287142,0.49590467989225423,10891.638671875,11200.0,0.0424099899828434,0.3162941336631775,0.2436734288930893,0.0,8,0,2,1,B1,C,0,0,0,00101011|00101011|00101011|00101011|00101011|00101011|00101011|00101011|00101011|00101011|00101011|00101011|00101011|00101011|00101011|00101011|00101011|00101011|00101011|00101011,1,2
2,6,perturb,B2p0,1.4295251369476318,0.33019536596346977,1.108070781624055,21514.916015625,25020.0,0.027341291308403015,0.7979314923286438,0.12183671444654465,0.48241567611694336,4,48,5,17,B2,B,48,48,0,10000111|10000111|01011100|11100010|11100010|11000110|11000011|01100011|11100001|00110101|10110001|10000111|10000111|10110100|10100110|00011110|10011010|01011010|01101010|00101011,16,15
2,7,perturb,B2p1,1.381158471107483,0.35755935208644524,1.0284539108056159,21368.828125,23620.0,0.029611894860863686,0.7978540658950806,0.09137753397226334,0.46231502294540405,3,46,4,17,B2,B,48,46,-2,10000111|10000111|01011100|01101010|11100010|11000110|11000011|11000011|11100001|00110101|10110001|10000111|10000111|10110100|10100110|00011110|10011010|01011010|01101010|00101011,14,13
2,8,perturb,B3p0,0.6551563739776611,0.5876415982428518,0.5316380437183589,13144.6826171875,15020.0,0.06207380071282387,0.4005853831768036,0.15229588747024536,0.04020130634307861,5,4,2,3,B3,B,4,4,0,11010100|11010100|11010100|11010100|11010100|11010100|01110100|01110100|01110100|01110100|01110100|01110100|01110100|00110101|00110101|00110101|00110101|00110101|00110101|00110101,5,4
2,9,perturb,B3p1,0.6919429898262024,0.6046500152216365,0.5031054755765595,13624.6826171875,14020.0,0.058615803718566895,0.4408300518989563,0.15229588747024536,0.04020130634307861,5,4,2,3,B3,B,4,4,0,11010100|11010100|11010100|11010100|11010100|11010100|11010100|01110100|01110100|01110100|01110100|01110100|01110100|01110100|00110101|00110101|00110101|00110101|00110101|00110101,8,3
2,10,random,R0.0,0.6726635694503784,0.5673894419346297,0.566709364579897,10644.681640625,11320.0,0.03924497589468956,0.29836761951446533,0.33505094051361084,0.0,11,0,2,1,,,,0,,00110110|00110110|00110110|00110110|00110110|00110110|00110110|00110110|00110110|00110110|00110110|00110110|00110110|00110110|00110110|00110110|00110110|00110110|00110110|00110110,6,6
2,11,random,R0.0,0.8179014921188354,0.49155523633084186,0.7101809625337617,12230.76953125,12200.0,0.027465132996439934,0.33354872465133667,0.4568876028060913,0.0,15,0,1,1,,,,0,,00101110|00101110|00101110|00101110|00101110|00101110|00101110|00101110|00101110|00101110|00101110|00101110|00101110|00101110|00101110|00101110|00101110|00101110|00101110|00101110,9,9
2,12,random,R0.1,0.9859985113143921,0.4108387103379343,0.8895545737753958,16000.0,17500.0,0.03158244863152504,0.4676856994628906,0.4264284670352936,0.06030195951461792,14,6,0,4,,,,6,,00111001|00111001|00111001|00111001|00111001|00111001|00011101|00011101|00011101|00011101|10011001|10011001|10011001|10011001|10011001|10011001|10011001|10011001|10011001|01011001,11,11
2,13,random,R0.1,0.886432409286499,0.4382543177954117,0.8249559028724267,14160.869140625,18320.0,0.030114317312836647,0.44086456298828125,0.33505094051361084,0.08040261268615723,11,8,4,5,,,,8,,01100101|01100101|11100001|11100001|11100001|11100001|11100001|11100001|11100001|10101001|10101001|11100001|11100001|01100011|01100011|01100011|01100011|01100011|01100011|01100011,10,10
2,14,random,R0.5,1.1663955450057983,0.38170821946576255,0.9630987856253321,20093.912109375,24600.0,0.043562524020671844,0.6677945852279663,0.2741326093673706,0.18090587854385376,9,18,4,10,,,,18,,10000111|10010011|10010011|10011010|10011010|10011010|10011010|10011010|10101010|10001011|10001011|10001011|10001011|10001011|00001111|01001101|01001011|01001011|11001010|01101010,12,12
2,15,random,R0.5,1.3527249097824097,0.3066972484699541,1.181894179307606,22767.826171875,27500.0,0.0341942235827446,0.7014543414115906,0.39596930146217346,0.22110718488693237,13,22,1,12,,,,22,,10010110|10010101|10000111|10000111|10000111|10001110|10001110|10001110|10000111|10000111|10000111|01000111|01000111|01010101|00010111|01000111|01000111|01001110|10001110|10011010,13,16
3,0,baseline,B1,0.518470287322998,0.6471987445697638,0.43510185302687526,9000.0,10220.0,0.04642963036894798,0.22836720943450928,0.2436734288930893,0.0,8,0,3,1,,,0,0,0,00011101|00011101|00011101|00011101|00011101|00011101|00011101|00011101|00011101|00011101|00011101|00011101|00011101|00011101|00011101|00011101|00011101|00011101|00011101|00011101,1,1
3,1,baseline,B2,1.432137131690979,0.3784921272870855,0.9715600060908712,22058.4609375,25720.0,0.030885890126228333,0.8378164768218994,0.060918357223272324,0.5025163292884827,2,50,5,18,,,50,50,0,00010111|11010100|10011100|00011101|10011001|00011101|10110100|00010111|10100011|00110011|01100011|11101000|01101100|01101100|01100110|01001011|00011101|00011101|10110001|10010101,15,13
3,2,baseline,B3,0.6422762870788574,0.6227368067102864,0.4736313105957188,13481.5380859375,15500.0,0.07145979255437851,0.43923765420913696,0.09137753397226334,0.04020130634307861,3,4,3,3,,,4,4,0,10110100|10110100|10110100|10110100|10110100|10110100|10110100|10110100|10110100|00110101|00110101|00110101|00110101|10100101|10100101|10100101|10100101|10100101|10100101|10100101,2,2
3,3,baseline,B4,0.6667550802230835,0.5644248180725197,0.5719480874817214,9770.76953125,9780.0,0.02917548641562462,0.21115107834339142,0.4264284670352936,0.0,14,0,2,1,,,0,0,0,00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111,3,6
3,4,perturb,B1p0,0.6728838682174683,0.5635844574187601,0.5734380766644169,10750.76953125,11640.0,0.03596391901373863,0.2714098393917084,0.36551010608673096,0.0,12,0,2,1,B1,C,0,0,0,01011100|01011100|01011100|01011100|01011100|01011100|01011100|01011100|01011100|01011100|01011100|01011100|01011100|01011100|01011100|01011100|01011100|01011100|01011100|01011100,4,7
3,5,perturb,B1p1,0.7016363739967346,0.5677737951271682,0.5660321875983362,11250.76953125,11220.0,0.0376613512635231,0.29846492409706116,0.36551010608673096,0.0,12,0,0,1,B1,C,0,0,0,01001101|01001101|01001101|01001101|01001101|01001101|01001101|01001101|01001101|01001101|01001101|01001101|01001101|01001101|01001101|01001101|01001101|01001101|01001101|01001101,6,5
