seed,family,depth,n_hot,p_cold,duty_spread,mean_duty,contested,n_2q,cut,f_2xSC,f_2xNA,f_SCNA,mk_2xSC,mk_2xNA,mk_SCNA,comm_2xSC,comm_2xNA,comm_SCNA,part_2xSC,part_2xNA,part_SCNA,best_homo,f_best_homo,mk_best_homo,rel_gain_pct,mk_ratio,mk_dominated,pareto_win,winner,liveness,idle_rate
29,hotcore,20,4,0.076,0.2963,0.34,0,23,3,0.721258,0.783364,0.799953,7080.0,18500.0,8660.0,3,3,3,0|5|6|7,0|5|6|7,1|2|3|4,2xNA,0.783364,18500.0,7.658,0.4681,0,1,SC+NA,0.506250,0.493750
30,hotcore,20,5,0.065,0.3527,0.4732,1,35,11,0.549277,0.598968,0.559187,8240.0,19000.0,15620.0,11,11,11,0|1|5|6,0|1|5|6,2|3|4|7,2xNA,0.598968,19000.0,-9.92,0.8221,0,0,2xNA,0.581250,0.418750
31,hotcore,20,5,0.031,0.2734,0.3504,1,23,7,0.678193,0.690066,0.65164,4440.0,14500.0,11800.0,7,7,7,0|1|4|7,0|1|4|7,0|1|4|7,2xNA,0.690066,14500.0,-12.398,0.8138,0,0,2xNA,0.443750,0.556250
32,hotcore,20,3,0.051,0.3006,0.2718,0,16,1,0.842592,0.858052,0.896273,4500.0,16000.0,4680.0,1,1,1,0|5|6|7,0|5|6|7,0|5|6|7,2xNA,0.858052,16000.0,26.926,0.2925,0,1,SC+NA,0.306250,0.693750
33,hotcore,20,4,0.13,0.3236,0.3379,0,23,1,0.825666,0.822762,0.872926,5900.0,18000.0,6700.0,1,1,1,0|1|2|3,0|1|2|3,4|5|6|7,2xSC,0.825666,5900.0,27.109,1.1356,1,0,SC+NA,0.487500,0.512500
34,hotcore,20,3,0.121,0.2897,0.2816,0,19,2,0.788089,0.818668,0.851395,5500.0,18500.0,7080.0,2,2,2,0|1|2|6,0|1|2|6,0|1|2|6,2xNA,0.818668,18500.0,18.048,0.3827,0,1,SC+NA,0.425000,0.575000
35,hotcore,20,3,0.153,0.2393,0.3104,0,21,5,0.728786,0.757144,0.754125,5720.0,16500.0,7860.0,5,5,5,0|2|3|4,0|2|3|4,0|2|3|4,2xNA,0.757144,16500.0,-1.243,0.4764,0,0,2xNA,0.462500,0.537500
36,hotcore,20,4,0.197,0.1984,0.341,0,24,10,0.638857,0.634293,0.624956,3900.0,16000.0,8580.0,10,10,11,0|1|4|5,0|1|4|5,0|1|4|7,2xSC,0.638857,3900.0,-3.849,2.2,0,0,2xSC,0.556250,0.443750
37,hotcore,20,5,0.027,0.3065,0.4162,1,30,9,0.618399,0.625749,0.604101,5620.0,19500.0,13720.0,9,9,9,0|2|5|7,0|2|5|7,0|2|5|7,2xNA,0.625749,19500.0,-5.784,0.7036,0,0,2xNA,0.600000,0.400000
38,hotcore,20,3,0.092,0.2429,0.2942,0,18,4,0.723474,0.772092,0.765773,5500.0,16500.0,7780.0,4,4,4,0|2|4|6,0|3|5|7,1|3|5|7,2xNA,0.772092,16500.0,-2.772,0.4715,0,0,2xNA,0.387500,0.612500
39,hotcore,20,4,0.083,0.2877,0.3678,0,27,4,0.725218,0.736049,0.781258,5480.0,17000.0,7080.0,4,4,4,0|2|5|6,0|2|5|6,0|2|5|6,2xNA,0.736049,17000.0,17.128,0.4165,0,1,SC+NA,0.475000,0.525000
40,hotcore,20,4,0.177,0.2819,0.4476,0,33,13,0.544761,0.555135,0.575446,6440.0,19500.0,10440.0,13,13,13,0|4|6|7,0|4|6|7,1|2|3|5,2xNA,0.555135,19500.0,4.566,0.5354,0,1,SC+NA,0.562500,0.437500
41,hotcore,20,4,0.054,0.3153,0.3448,0,24,2,0.818643,0.816243,0.881275,4500.0,17500.0,5640.0,2,2,2,0|1|5|6,0|1|5|6,2|3|4|7,2xSC,0.818643,4500.0,34.535,1.2533,1,0,SC+NA,0.437500,0.562500
42,hotcore,20,3,0.015,0.3381,0.2616,0,17,0,0.827713,0.880805,0.916469,5520.0,18000.0,5520.0,0,0,0,0|2|3|5,0|1|2|5,0|2|3|5,2xNA,0.880805,18000.0,29.921,0.3067,0,1,SC+NA,0.350000,0.650000
43,hotcore,20,4,0.142,0.2015,0.3578,0,25,10,0.641949,0.655685,0.654187,4440.0,17000.0,8900.0,10,10,10,0|5|6|7,0|5|6|7,0|5|6|7,2xNA,0.655685,17000.0,-0.435,0.5235,0,0,2xNA,0.443750,0.556250
44,hotcore,20,3,0.113,0.2759,0.3125,0,19,4,0.790537,0.778046,0.787263,5140.0,17000.0,7960.0,4,4,4,0|3|4|5,0|3|4|5,1|2|6|7,2xSC,0.790537,5140.0,-1.563,1.5486,0,0,2xSC,0.425000,0.575000
